VIAGEM,SAÍDA,ORIGEM,DESTINO
1,12,Campus Praia Vermelha,Campus Gragoatá
2,16,Campus Gragoatá,Campus Praia Vermelha
3,08,Centro (Terminal rodoviário/Barcas),Campus Gragoatá
4,08,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
5,06,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
6,16,Campus Praia Vermelha,Centro (Terminal rodoviário/Barcas)
7,08,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
8,12,Campus Praia Vermelha,Campus Gragoatá
9,18,Campus Praia Vermelha,Centro (Terminal rodoviário/Barcas)
10,12,Campus Gragoatá,Campus Praia Vermelha
11,16,Campus Praia Vermelha,Centro (Terminal rodoviário/Barcas)
12,12,Campus Gragoatá,Campus Praia Vermelha
13,16,Campus Praia Vermelha,Centro (Terminal rodoviário/Barcas)
14,16,Campus Gragoatá,Campus Gragoatá
15,18,Campus Gragoatá,IACS
16,20,Campus Gragoatá,Campus Gragoatá
17,10,Campus Gragoatá,Centro (Terminal rodoviário/Barcas)
18,16,Centro (Terminal rodoviário/Barcas),Campus Gragoatá
19,20,Campus Gragoatá,Centro (Terminal rodoviário/Barcas)
20,Depois das 22:00,Campus Gragoatá,Centro (Terminal rodoviário/Barcas)
21,16,Centro (Terminal rodoviário/Barcas),Reitoria
22,12,Campus Praia Vermelha,Campus Gragoatá
23,12,Campus Praia Vermelha,Campus Gragoatá
24,06,Campus Praia Vermelha,Campus Valonguinho
25,12,Campus Valonguinho,Campus Praia Vermelha
26,16,Campus Praia Vermelha,Faculdade de Veterinária
27,14,Campus Gragoatá,Campus Valonguinho
28,16,Reitoria,Campus Gragoatá
29,Depois das 22:00,Campus Gragoatá,Reitoria
30,20,Campus Gragoatá,Faculdade de Direito
31,18,Faculdade de Direito,Reitoria
32,10,Campus Praia Vermelha,Campus Gragoatá
33,14,Campus Gragoatá,Campus Praia Vermelha
34,08,Campus Gragoatá,Campus Valonguinho
35,10,Campus Gragoatá,Campus Praia Vermelha
36,12,Campus Praia Vermelha,Campus Gragoatá
37,18,Campus Praia Vermelha,Faculdade de Direito
38,08,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
39,08,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
40,08,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
41,08,Centro (Terminal rodoviário/Barcas),Campus Praia Vermelha
42,18,Campus Praia Vermelha,Campus Praia Vermelha
43,Depois das 22:00,Campus Praia Vermelha,Campus Valonguinho
44,Depois das 22:00,Campus Praia Vermelha,Campus Valonguinho
