VIAGEM,METODO 1,METODO 2,METODO 3,METODO 4,METODO 5,METODO 6
1,,,,,,
2,Andando,,,,,
3,,,,,,
4,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",,,,
5,Andando,BusUFF,Ônibus convencional,,,
6,Andando,,,,,
7,Andando,Ônibus convencional,,,,
8,Andando,BusUFF,,,,
9,,,,,,
10,Andando,,,,,
11,Carro/Moto,,,,,
12,Andando,Carro/Moto,Ônibus convencional,,,
13,Andando,Bicicleta/Skate/Patinete,,,,
14,Ônibus convencional,,,,,
15,Andando,Ônibus convencional,,,,
16,Andando,,,,,
17,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",BusUFF,Carro/Moto,Ônibus convencional,
18,,,,,,
19,Andando,Bicicleta/Skate/Patinete,Ônibus convencional,,,
20,,,,,,
21,Andando,Ônibus convencional,,,,
22,Andando,BusUFF,Ônibus convencional,,,
23,Andando,Bicicleta/Skate/Patinete,,,,
24,,,,,,
25,,,,,,
26,BusUFF,,,,,
27,Andando,Bicicleta/Skate/Patinete,Ônibus convencional,,,
28,Andando,,,,,
29,,,,,,
30,,,,,,
31,Andando,BusUFF,Ônibus convencional,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",Ônibus convencional,,,
38,,,,,,
39,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",Bicicleta/Skate/Patinete,Ônibus convencional,,
40,Andando,Ônibus convencional,,,,
41,Andando,BusUFF,Carro/Moto,Ônibus convencional,,
42,Andando,Ônibus convencional,,,,
43,Andando,,,,,
44,,,,,,
45,Ônibus convencional,,,,,
46,Bicicleta/Skate/Patinete,,,,,
47,Andando,BusUFF,Ônibus convencional,,,
48,Andando,Ônibus convencional,,,,
49,Andando,Bicicleta/Skate/Patinete,BusUFF,Ônibus convencional,,
50,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",Ônibus convencional,,,
51,Andando,BusUFF,Ônibus convencional,,,
52,Andando,Carro/Moto,,,,
53,Andando,BusUFF,Ônibus convencional,,,
54,,,,,,
55,Andando,Ônibus convencional,,,,
56,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",Carro/Moto,Ônibus convencional,,
57,"Aplicativo de transporte (Uber,99taxi, etc.)",Bicicleta/Skate/Patinete,Ônibus convencional,,,
58,"Aplicativo de transporte (Uber,99taxi, etc.)",,,,,
59,Andando,Carro/Moto,,,,
60,Carro/Moto,Ônibus convencional,,,,
61,Andando,,,,,
62,Carro/Moto,,,,,
63,Andando,BusUFF,Ônibus convencional,,,
64,Andando,BusUFF,Ônibus convencional,,,
65,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",Carro/Moto,Ônibus convencional,,
66,Andando,Ônibus convencional,,,,
67,Andando,"Aplicativo de transporte (Uber,99taxi, etc.)",BusUFF,Ônibus convencional,,
68,Ônibus convencional,,,,,
69,Andando,BusUFF,Carro/Moto,Ônibus convencional,,
70,,,,,,
