VIAGEM,REGIAO 1,REGIAO 2,REGIAO 3,REGIAO 4,REGIAO 5,REGIAO 6,REGIAO 7,REGIAO 8,REGIAO 9,REGIAO 10,REGIAO 11,REGIAO 12
1,Centro,Icaraí,Ingá,Região Oceânica,Santa Rosa,,,,,,,
2,Centro,Ingá,,,,,,,,,,
3,Icaraí,Ingá,Região Oceânica,São Francisco,,,,,,,,
4,Centro,Icaraí,Ingá,,,,,,,,,
5,Centro,Icaraí,Ingá,,,,,,,,,
6,,,,,,,,,,,,
7,Centro,Icaraí,,,,,,,,,,
8,Centro,Icaraí,Ingá,São Francisco,,,,,,,,
9,Centro,Icaraí,Ingá,,,,,,,,,
10,,,,,,,,,,,,
11,Centro,,,,,,,,,,,
12,Centro,Fonseca,Ingá,,,,,,,,,
13,Centro,Icaraí,Ingá,,,,,,,,,
14,Centro,,,,,,,,,,,
15,Centro,Icaraí,Ingá,Santa Rosa,,,,,,,,
16,Centro,Icaraí,Ingá,,,,,,,,,
17,Centro,Icaraí,Ingá,,,,,,,,,
18,Centro,Icaraí,Ingá,São Francisco,,,,,,,,
19,Centro,Icaraí,Ingá,,,,,,,,,
20,Centro,,,,,,,,,,,
21,Ingá,,,,,,,,,,,
22,Centro,Icaraí,Ingá,,,,,,,,,
23,Centro,Icaraí,Ingá,,,,,,,,,
24,Centro,Icaraí,Ingá,Santa Rosa,,,,,,,,
25,,,,,,,,,,,,
26,Ingá,,,,,,,,,,,
27,Barreto,Centro,Engenhoca,Fonseca,,,,,,,,
28,Centro,Ingá,,,,,,,,,,
29,Centro,,,,,,,,,,,
30,Centro,Icaraí,Ingá,,,,,,,,,
31,Barreto,Centro,Icaraí,Ingá,Santa Rosa,São Francisco,,,,,,
32,Ingá,,,,,,,,,,,
33,Centro,Ingá,São Francisco,,,,,,,,,
34,Icaraí,,,,,,,,,,,
35,,,,,,,,,,,,
36,Centro,Icaraí,Ingá,,,,,,,,,
37,Centro,Icaraí,Ingá,Gragoatá,,,,,,,,
38,Icaraí,Santa Rosa,,,,,,,,,,
39,Centro,Icaraí,Ingá,Santa Rosa,,,,,,,,
40,Centro,Icaraí,São Domingos - Campus do Gragoatá ,,,,,,,,,
41,Centro,Icaraí,Ingá,Santa Rosa,,,,,,,,
42,São Francisco,,,,,,,,,,,
43,Pendotiba,,,,,,,,,,,
44,Barreto,Centro,Fonseca,Icaraí,Ingá,Santa Rosa,,,,,,
45,Icaraí,Região Oceânica,,,,,,,,,,
46,Centro,Icaraí,Ingá,São Francisco,,,,,,,,
47,Centro,Icaraí,Ingá,,,,,,,,,
48,Centro,Fonseca,Icaraí,Ingá,,,,,,,,
49,Centro,"São Lourenço, Bairro de Fátima, Gragoatá, Vital Brasil, Santa Rosa",,,,,,,,,,
50,Icaraí,Ingá,,,,,,,,,,
51,Centro,Fonseca,Icaraí,Ingá,,,,,,,,
52,Centro,Icaraí,Santa Rosa,,,,,,,,,
53,Centro,Icaraí,Ingá,,,,,,,,,
54,Centro,,,,,,,,,,,
55,Centro,Icaraí,Ingá,Região Oceânica,Santa Rosa,São Francisco,,,,,,
56,Barreto,Centro,Engenhoca,Icaraí,Região Oceânica,Santa Rosa,São Francisco,,,,,
57,Centro,Icaraí,Ingá,Região Oceânica,Santa Rosa,,,,,,,
58,Icaraí,Santa Rosa,,,,,,,,,,
59,Centro,Icaraí,Ingá,,,,,,,,,
60,Centro,Icaraí,Ingá,Região Oceânica,Santa Rosa,São Francisco,,,,,,
